day,temp,rain,gust
1,-2.4,0,43
2,3.7,3,41
3,9,4.2,48
4,0.5,4.6,56
5,-2.2,0,52
6,-1.7,0,32
7,0.9,0,39
8,1.4,0,39
9,3.6,6.6,56
10,7.3,12,76
11,5.5,0,67
12,9.6,0,43
13,12.1,4,70
14,11.1,0,61
15,7.9,0,37
16,8,0,50
17,13.3,0,50
18,6.2,0,48
19,6.4,0,39
20,7.6,12.4,56
21,8.4,17.6,56
22,6.9,3,46
23,4.1,2.2,56
24,2.5,0,44
25,6.4,0,41
26,7.8,0,32
27,10,0.8,41
28,11.7,0,35
29,11.5,0,37
30,11.3,0,43
31,13.5,0,30
32,15.5,0,35
33,17.8,0,35
34,20.7,1.6,72
35,14.9,0,44
36,16,0,44
37,19.2,0,37
38,21,0,30
39,20.5,9.8,65
40,19.3,1.4,39
41,10.9,17.6,44
42,15.9,0,80
43,12.1,0,41
44,12.2,0,41
45,14.3,0,30
46,17.7,0,30
47,19.3,0,30
48,20.6,9.4,46
49,19.4,0,69
50,11.2,0,54
51,13.9,0,43
52,8.6,0.4,54
53,10,0,61
54,19.2,0,56
55,18.3,24.8,43
56,21.9,0,46
57,24.6,0,57
58,17.2,6,48
59,17.9,0,30
60,20.8,4.2,67
61,11.4,2,46
62,11.6,2.8,44
63,9.9,2,33
64,11.1,0,30
65,16.3,0,30
66,19.3,8.6,46
67,14.4,0,44
68,14.7,0,43
69,18.2,27.8,44
70,19.1,8.8,30
71,19.8,4,39
72,19.7,0,56
73,17.5,11.4,32
74,19.6,0,41
75,18.1,0,30
76,19.3,0.6,41
77,18.4,25.6,37
78,16.2,0,30
79,21,4.2,46
80,16.2,0,44
81,17.2,0,30
82,21.8,19.6,33
83,21.9,6.2,30
84,22.2,2.4,70
85,18.9,3,46
86,16.9,0,33
87,18,0,35
88,18.6,0,30
89,16.2,12.6,46
90,15.7,0,32
91,19.5,0,39
92,19.2,9.8,54
93,18.2,0,56
94,18.7,0,37
95,19.5,0,30
96,21.6,0,33
97,22.3,0,30
98,25.3,1.6,48
99,19.3,0.8,39
100,19.3,0,30
101,22.4,0,39
102,23.2,0,44
103,25,0,30
104,25.1,0,30
105,21.9,0,57
106,18.1,0,48
107,16.9,0,30
108,19,5.8,33
109,21.8,2,30
110,24.4,35.8,30
111,23.5,0,43
112,20,30.2,44
113,18.4,0,41
114,20.5,1.2,61
115,20.2,1.4,30
116,20.2,4,30
117,23.2,0,30
118,24.5,1.4,44
119,24.4,0,33
120,26.8,0,30
121,25.1,4.6,43
122,22.7,0,63
